date_aaaammjj;menutypeplat;plat;specificites;repas
2020-09-14;Fromage;FROMAGE PELARDON;Haute Qualité Alimentaire;DEJEUNER
2021-03-04;Plat;ESCALOPE DE PORC BIO SAUCE CATALANE;Produit Agriculture Biologique;DEJEUNER
2020-09-15;Entrée;JAMBON CRU SALVETAT/CORNICHON A/PORC;Haute Qualité Alimentaire;DEJEUNER
2021-03-04;Fromage;FROMAGE CARRE FRAIS BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-09-15;Entrée;TOMATE MACEDOINE;;DEJEUNER
2021-03-04;Dessert;RIZ AU LAIT ENTIER ET CARAMEL IND;;DEJEUNER
2020-09-15;Plat;DOS DE CABILLAUD SAUCE COCKTAIL;;DEJEUNER
2021-03-05;Plat;SAUTE DE VEAU BIO TANDOORI;Produit Agriculture Biologique;DEJEUNER
2020-09-17;Entrée;TOMATE CERISE TAPENADE;;DEJEUNER
2021-03-11;Entrée;MORTADELLE IGP A/PORC;Haute Qualité Alimentaire;DEJEUNER
2020-09-17;Plat;PAELLA AU POULET - PLAT COMPLET;;DEJEUNER
2021-03-12;Plat;PAVE DE SAUMON A L'HUILE D'OLIVE;;DEJEUNER
2020-09-17;Fromage;FROMAGE EMMENTAL BIO IND;Produit Agriculture Biologique;DEJEUNER
2021-03-12;Dessert;ANANAS FRAIS EN TRANCHE;Haute Qualité Alimentaire;DEJEUNER
2020-09-18;Entrée;CAKE AUX OLIVES. DES DE BREBIS ET SALADE MELANGE;Haute Qualité Alimentaire;DEJEUNER
2021-03-15;Entrée;POMELOS BIO AU SUCRE (ENTREE);Produit Agriculture Biologique;DEJEUNER
2020-09-18;Entrée;SALADE MELANGE BIO AUX OIGNONS FRITS;Produit Agriculture Biologique;DEJEUNER
2021-03-15;Légumes;POMME DE TERRE ALLUMETTE FRITE;;DEJEUNER
2020-09-18;Entrée;TOMATE FRAICHE VINAIGRETTE;Haute Qualité Alimentaire;DEJEUNER
2021-03-16;Entrée;RADIS BEURRE;Haute Qualité Alimentaire;DEJEUNER
2020-09-18;Légumes;POELEE RIZ A LA CAMARGUAISE;;DEJEUNER
2021-03-16;Fromage;FROMAGE CAMEMBERT BIO;Produit Agriculture Biologique;DEJEUNER
2020-09-24;Plat;FAJITAS MEXICAINES - PLAT COMPLET;;DEJEUNER
2021-03-16;Fromage;YAOURT BIO SUCRE SAVEUR VANILLE;Produit Agriculture Biologique;DEJEUNER
2020-09-24;Plat;OMELETTE NATURE BIO;Produit Agriculture Biologique;DEJEUNER
2021-03-18;Entrée;SALADE STRASBOURGEOISE;;DEJEUNER
2020-09-25;Entrée;MELON PAYS AU JAMBON;;DEJEUNER
2021-03-18;Légumes;CAROTTES BIO A LA PAYSANNE UPC;Produit Agriculture Biologique;DEJEUNER
2020-09-25;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2021-03-18;Légumes;POELEE DE SAISON;Haute Qualité Alimentaire;DEJEUNER
2020-09-28;Entrée;POMELOS BIO AU SUCRE (ENTREE);Produit Agriculture Biologique;DEJEUNER
2021-03-18;Fromage;FROMAGE BRIE BIO COUPE;Produit Agriculture Biologique;DEJEUNER
2020-09-28;Dessert;GLACE CONE VANILLE;;DEJEUNER
2021-03-18;Fromage;YAOURT BIO LOCAL EN SEAU;Produit Agriculture Biologique;DEJEUNER
2020-09-29;Entrée;CONCOMBRE FRAIS SAUCE RAITA;Haute Qualité Alimentaire;DEJEUNER
2021-03-18;Dessert;MOUSSE AU CHOCOLAT AU LAIT IND;;DEJEUNER
2020-10-01;Entrée;SALADE MELANGE BIO LOCALE  AU THON;Produit Agriculture Biologique;DEJEUNER
2021-03-19;Entrée;SALADE MACHE EMMENTAL;Haute Qualité Alimentaire;DEJEUNER
2020-10-01;Légumes;PETIT POIS BIO PAYSANNE A/PORC;Produit Agriculture Biologique;DEJEUNER
2021-03-22;Entrée;FEUILLETE HOT DOG VOLAILLE;;DEJEUNER
2020-10-02;Fromage;YAOURT A BOIRE PANACHE;;DEJEUNER
2021-03-22;Entrée;OEUF A LA COQUE ET MOUILLETTE;;DEJEUNER
2020-10-02;Dessert;PARIS BREST;;DEJEUNER
2021-03-22;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2020-10-05;Entrée;RADIS BEURRE;Haute Qualité Alimentaire;DEJEUNER
2021-03-23;Légumes;POELEE LEGUMES TAJINE;;DEJEUNER
2020-10-08;Entrée;SALADE MELANGE BIO AVEYRONNAISE;Produit Agriculture Biologique;DEJEUNER
2021-03-25;Entrée;SALADE COLESLAW UPC;Haute Qualité Alimentaire;DEJEUNER
2020-10-08;Plat;TIELLE  PLAT COMPLET;Haute Qualité Alimentaire;DEJEUNER
2021-03-26;Plat;DOS DE COLIN SAUCE SETOISE;;DEJEUNER
2020-10-08;Dessert;FROMAGE BLANC CEVENOL BIO;;DEJEUNER
2021-03-26;Légumes;POMMES VAPEUR PERSILLEES;;DEJEUNER
